标题,小区,房厅,面积,朝向,楼层,年份,位置,总价(万),单价(元/平方米)
南北通 满五年自住一套，户型正气，精装修，产权清晰,始信北苑 ,2室2厅,79.59平米,北 南,6,2003,金杨,758,95
双南户型北面有窗很通透  高区楼层视野开阔,东港公寓 ,2室1厅,73.96平米,南,15,1987,陆家嘴,550,74
主推！出国急卖，金桥标杆小区。,金桥名都 ,2室1厅,83.25平米,南,11,2004,金桥,560,67
位置好 南北通 中间楼层 精装 满五少税,锦绣华都 ,2室2厅,87.52平米,南 北,18,2010,御桥,666,76
双南全明户型好+18和7双轨交+房东诚售,培花七村 ,2室2厅,80.87平米,南,6,1996,北蔡,520,64
内环内 地铁口 高区双南 采光无遮挡，户型正气无边角,陆家嘴滨江公馆 ,2室1厅,72.47平米,南,29,1994,洋泾,629,86
内环04年小区，电梯一房，低总价，近地铁，配套好,中远行家 ,1室1厅,77.12平米,东,28,2004,塘桥,518,67
崮山小区三街坊 3室1厅 南,崮山小区三街坊 ,3室1厅,80.61平米,南,6,未知,洋泾,730,90
户型正，精装修，满五，业主诚意,明天华城 ,2室2厅,89.88平米,南,18,2014,周浦,529,58
中间楼层  精装修 可以拎包入住  近6号线地铁,都林嘉苑南苑(杨南路1168弄) ,2室2厅,88.68平米,南,6,2002,杨思前滩,645,72
【优质房源】南北两房+中楼层+不靠马路+欢迎来看,证大家园(二期) ,2室2厅,89.82平米,南 北,6,2002,金桥,718,79
保利开发＋附8平＋采光充足前排别墅＋诚意出售,保利林语溪(公寓) ,2室2厅,89.63平米,南 北,18,2011,三林,550,61
高区采光好  诚意出售  价格可谈  交通便利,天后宫大楼 ,2室0厅,72.39平米,南,24,1989,陆家嘴,698,96
双阳台 商品房 花园小区 非顶楼 不靠马路,蝶恋园 ,2室2厅,85.85平米,南,6,2001,金杨,655,76
⭐⭐⭐⭐⭐诚意房东+诚意售！+南北通小院子+看房方便,东方滨港园 ,2室2厅,84.18平米,南,6,2005,杨思前滩,698,82
内环内  乐坊生活 旭辉LCM 6号线北洋泾 9号线芳甸路,崮山小区三街坊 ,2室1厅,70.21平米,南,6,1997,洋泾,620,88
三林前滩+品质小区+干挂石材外立面+近地铁+精装修,浦发御园 ,2室2厅,78.13平米,南,12,2013,三林,755,96
金桂小区 3室1厅 南,金桂小区 ,3室1厅,88.22平米,南,6,1994,花木,720,81
额外有8平 2+1的房子 人车分流 绿化高达55%,绿地香颂(浦东)(公寓) ,2室2厅,87.91平米,南,18,2011,三林,570,64
诚售！陆家嘴内环内，4/14号地铁上口，双南电梯2房！,上船大楼 ,2室1厅,74.54平米,南,18,1991,梅园,530,71
满5年没有个税，精装修，采光好。,印象春城 ,2室2厅,89.43平米,南 北,18,2011,周浦,539,60
05年品质小区+南北通+大客厅+中间楼层采光好,源城锦翠苑 ,2室1厅,76.49平米,南,6,2005,杨思前滩,670,87
内环内，新上商品房，中间楼层，精装修，14/18号地铁,和达家园 ,2室2厅,84.13平米,南 北,15,2001,洋泾,728,86
精装电梯大一房2厅，全明户型，可拎包入住,金隆置地大厦 ,1室1厅,73.84平米,西南 北,31,2003,梅园,699,94
内环内 商品房 三条地铁 非顶楼,民生家园 ,2室2厅,84.96平米,南,6,1997,梅园,678,79
一梯两户南北房型，业主婚房精装修带地暖，诚心出售,玉兰香苑二期C块 ,2室1厅,77.57平米,南,5,2009,张江,559,72
少见全明双南边套＋满五且一＋花园位置＋无遮挡采光好,竹园高层 ,2室1厅,72.54平米,南,22,1989,源深,598,82
前滩板块，户型南北同透，配套齐全,上南玲珑苑 ,2室2厅,81.93平米,南,6,1999,杨思前滩,640,78
陆家嘴黄浦江边电梯双南两房，有20平露台可用！,滨江大楼 ,2室1厅,78.74平米,南,24,1997,陆家嘴,598,75
带正规厅的双南两房，全明户型，，低单价,谢家宅小区 ,2室1厅,86.57平米,南 北,6,1994,陆家嘴,640,73
边套三房 视野好 采光好 诚意出售,建业新村 ,3室1厅,81.2平米,东南,6,1998,南码头,520,64
房子带25平花园，小区位置安静，采光好，业主诚意出售,金杨路750弄 ,2室2厅,85.95平米,南,6,1996,金杨,540,62
业主急售 有车位 次新房保养好 精装修,浦发罗兰翡丽 ,2室1厅,76.69平米,南,14,未知,唐镇,638,83
钥匙总价低一梯两户，南北2南，厅朝南，精装修，地暖,浦发罗兰翡丽 ,2室1厅,76.46平米,南,14,2017,唐镇,628,82
视野宽阔，采光充足，配套齐全，户型方正,新世纪花苑(二期)(浦东) ,2室1厅,77.17平米,南 北,6,1999,世博,535,69
2001年商品房，中间楼层，南北通透，地铁100米，急售,华光苑 ,3室1厅,89.66平米,南 北,6,2002,三林,699,77
一手动迁，满五，业主诚意出售 带花园 看，房随时,川杨新苑(三期) ,2室2厅,87.25平米,南,6,2010,张江,508,58
一站式前滩+两房朝南户型+一手动迁税少+中间楼层,永泰花苑 ,2室1厅,73.17平米,南 北,11,2004,三林,515,70
此房满五年上海家庭一套住房，带20多平花园院子,保利金爵公寓 ,2室1厅,71.36平米,南,14,2009,唐镇,500,70
此房无增值税，出门7号线，配套成熟，南北通户型好,锦博苑 ,2室2厅,78.87平米,南,6,2007,北蔡,620,78
三地铁，近前滩，零个税增值税低，精装修，带固定车位,海阳新村 ,2室2厅,89.95平米,南,6,2002,杨思前滩,566,62
杨思路地铁口+大两房+精装修+诚意出售,长清路595弄 ,2室2厅,78.02平米,南,7,1999,杨思前滩,550,70
陆家嘴边套高楼层精装修观景效果好  看三件套,久阳滨江公寓 ,1室1厅,70.77平米,南,25,2006,陆家嘴,590,83
两房朝南，中间楼层，不靠马路，户型好，诚心出售,黄山二村 ,2室1厅,74.3平米,南,6,1998,金杨,660,88
巨东小区+配套成熟+位置安静+原始三房+有钥匙随时看,巨东小区 ,3室1厅,71.48平米,南 北,6,1994,洋泾,640,89
三林板块+2011年次新房+双南两房+税少+诚意卖,中海御景熙岸(公寓) ,2室2厅,87.16平米,南,20,2011,三林,510,58
小区南北通两房 带车位 楼栋直通地下停车场 中间楼层,保利金爵公寓 ,2室2厅,88.9平米,南,14,2009,唐镇,550,61
2011年商品房+品质小区+高楼层不遮挡,中海御景熙岸(公寓) ,2室2厅,87.16平米,南,20,2011,三林,548,62
三林前滩，一手动迁，标准三房，中间位置，价格实惠,翠竹苑 ,3室2厅,86.45平米,南,6,1997,三林,515,59
东方城市花园(二期) 1室2厅 南,东方城市花园(二期) ,1室2厅,78.25平米,南,24,2005,南码头,800,102
稀有户型，精装修，好楼层，近地铁,金杨新村四街坊 ,3室1厅,74.64平米,南,6,1995,金杨,625,83
此房满五，税费较少，南北格局，户型比较好,绿洲康城亲水湾(中央区) ,2室1厅,82.65平米,南 北,18,2017,御桥,650,78
客厅南北双阳台+11年纯商品房+前后无遮挡,中海御景熙岸(公寓) ,3室2厅,88.58平米,南 北,20,2011,三林,609,68
近前滩+精装随时拎包入住+户型方正+业主诚意,上南山水苑 ,2室2厅,86.88平米,南,6,2001,杨思前滩,735,84
前滩CBD+飞机户型+商品房小区+总价低+中间位置,恒大华城东林苑 ,3室1厅,88.87平米,南 西北,5,2002,杨思前滩,680,76
店长推荐⭐️双轨地铁口低单价电梯房！拎包入住！,蓝高小区 ,2室1厅,80.16平米,南,18,1993,塘桥,545,67
一楼带花园的，内环内的，小区02年的商品房,欣晟家园 ,2室2厅,83.81平米,南,5,2002,塘桥,780,93
南北通 视野开阔+商品房近地铁+自住精装修加阁楼+露台,绿川公寓 ,3室2厅,74.45平米,南 北,6,1998,北蔡,510,68
⭐96年外销房⭐近地铁⭐70年⭐有地暖⭐总价低两房⭐,海富花园 ,2室1厅,75.47平米,南,25,1996,塘桥,535,70
新上竹园三房，一梯两户，稀有户型，中间楼层，诚心售,博三小区 ,3室1厅,80.44平米,南,6,1994,金桥,600,74
中间位置中间楼层卫生间不对门得房率高,都林嘉苑南苑(杨南路1168弄) ,2室2厅,89.66平米,南,6,2002,杨思前滩,620,69
南杨花园 2室1厅 南,南杨花园 ,2室1厅,81.32平米,南,6,1995,北蔡,530,65
前滩板块-精装2房，拎包入住黄-金，楼层诚意出售好谈,海阳新村 ,2室2厅,74.75平米,南,6,1999,杨思前滩,530,70
一手动迁+阁楼+位置好+采光佳+满五+近13号地铁+南北通,川杨新苑(四期) ,2室2厅,87.69平米,南,6,2010,张江,580,66
户型方正 非底楼 02年商品房 急卖,金舟苑 ,2室2厅,86.8平米,南,6,2002,金桥,580,66
2011年商品房+满五税少+中间楼层采光好+诚意满满,中海御景熙岸(公寓) ,2室1厅,87.16平米,南,20,2011,三林,528,60
内环内地段近地铁户型好户型 板正两房卫商圈配套齐全,洋泾花园城 ,2室2厅,89.5平米,南,6,1996,洋泾,710,79
边套采光棒，满五年名下只有一套，位置好，诚意出售,金桥新村四街坊 ,3室1厅,84.99平米,南,6,1997,金桥,535,62
金色中环，两房两厅电梯房，景观楼层，房东诚意出售,金桥新家园 ,2室2厅,79.88平米,南,21,2005,金桥,578,72
三林前滩板块+近地铁+高区河景+小区中间位置,金橘新苑（南区） ,2室2厅,80.67平米,南,16,2006,三林,650,80
朝南全天采光，户型紧凑，利用率高，商圈配套齐全,陈家宅小区(潍坊西路) ,2室1厅,74.73平米,南 东,24,1995,陆家嘴,600,80
03年小区，南北户型，一手动迁，满5V1，9/12双地铁,金色米兰苑 ,2室2厅,87.78平米,南,6,2003,金桥,560,63
"电梯中区,采光充足，诚意出售，视野开阔,诚意出售",浦江东旭公寓1443弄 ,2室2厅,82.51平米,东,18,2009,高行,518,62
香樟苑北苑（海阳路1065弄） 2室1厅 南,香樟苑北苑（海阳路1065弄） ,2室1厅,84.37平米,南,6,1998,杨思前滩,590,69
04年绿地商品房+中间楼层+近地铁+随时看房+价格可谈,绿川馨康苑 ,2室2厅,84.39平米,南 北,6,2004,北蔡,525,62
陆家嘴黄浦江边 高区双南全明户型 业主诚意出售税费少,滨江大楼 ,2室1厅,70.76平米,南,24,1997,陆家嘴,540,76
此房位置好楼层好，视野开阔，精装修带整体空调和地暖,绿地香颂(浦东)(公寓) ,2室2厅,87.91平米,南,18,2011,三林,599,68
南北通户型，楼层采光好，位置佳，双澧溪，,果园二村 ,2室2厅,88.68平米,南 北,5,2002,周浦,520,58
钥匙两房央座高区楼层一手动迁无增值税房型改造型强,新高苑(四期) ,2室2厅,86.09平米,南,14,2013,高行,515,59
联丰二期 2室1厅 南,联丰二期 ,2室1厅,70.9平米,南,6,1998,杨思前滩,543,76
18号线康桥站+万科物业+顶楼带阁楼+婚房装修拎包入住,绿地康桥新苑 ,2室2厅,73.62平米,南 北,6,2005,康桥,515,69
电梯+南北通户型+临河+遇水则发+满五+安静+采光好！,川杨新苑(三期) ,2室2厅,86.8平米,南,14,2010,张江,509,58
中环内，近地铁，商品房，户型好,都林嘉苑南苑(杨南路1168弄) ,2室1厅,89.21平米,南,5,2002,杨思前滩,698,78
金色中环，品质社区，房龄新，婚房装修，业主诚售,吉利名苑 ,2室1厅,76.6平米,南,6,2009,杨思前滩,695,90
新上好房源 业主诚心出售 双轨交汇 金桥中间地段,金桥新村四街坊 ,3室1厅,84.71平米,南 北,6,1997,金桥,535,63
前滩八号线 低总价三房 楼层佳位置好 随时看房,华夏小区 ,3室1厅,85.12平米,南,5,1995,杨思前滩,520,61
电梯高区，近地铁，公园旁，装修好，税费少,金葵新城(东区) ,2室2厅,84.3平米,南,18,2012,金桥,550,65
位置安静，全明户型，二手买进 满五年 精装修 楼层好,黄山始信苑 ,2室2厅,75.61平米,南 北,6,1999,金杨,755,99
前滩中环地铁口。通透格局，视野开阔，周/边配套齐全,日月新苑 ,2室2厅,79.57平米,南 北,5,2002,杨思前滩,630,79
南北通户型好+满五可做普宅 +精装修+置换诚意出售,玉兰香苑二期C块 ,2室1厅,77.4平米,南 北,6,2009,张江,500,64
此房满五年税费少，景观楼层。户型方正,保利金爵公寓 ,2室2厅,87平米,南,11,2009,唐镇,617,70
满五税费低，户型方正，六师没有用过，近6号线/LCM,泾东小区 ,2室1厅,87.03平米,东 东南,25,1990,洋泾,595,68
此房一手动迁  楼层好 得房率高 业主诚意出售,川杨新苑(四期) ,2室2厅,88.2平米,南,6,2010,张江,532,60
此房德平路轨交口楼层好不靠马路商品房一梯两户,上泰花苑 ,2室2厅,84.15平米,南,6,1998,金杨,605,71
百万方CBD 龙阳路内环旁 05年建成小区 中间楼层,龙沟新苑 ,2室1厅,76.61平米,南,6,2005,北蔡,515,67
满5年，精装修，南北户型，距离地铁近，中间楼层,河滨城市花园 ,2室2厅,82.66平米,南,6,2006,曹路,500,60
双房大朝南，中间楼层，看房便利房龄新，小区花园旁,阳二小区 ,2室1厅,76.4平米,南,6,1994,洋泾,515,67
中间楼层，税费少，一梯两户，便于设计,弘扬公寓 ,1室2厅,75.65平米,南,6,1999,金杨,750,99
满五 简装 位置优 采光无遮挡,尼德兰花园(二期) ,2室2厅,88.07平米,南,13,2016,外高桥,559,63
看房有钥匙，房东诚售，价格好谈，有30平使用面积,崮山小区一街坊 ,3室2厅,85.56平米,南 北,6,2001,洋泾,720,84
花木-龙阳，近地铁，中间楼层，全明户型，03年小区！,申波苑 ,2室2厅,75.59平米,南,6,2003,北蔡,510,67
⭐⭐⭐⭐⭐宰相层，精装修30万，2房2厅格局，户型正气,双桥小区 ,2室2厅,78.14平米,南,6,2003,金桥,550,70
房子是南北通户型  房东诚心出售采光好 中间楼层,上泰雅苑 ,2室2厅,88.61平米,南,5,2003,金桥,566,63
杨思前滩+金色中环+万科品质+带院子+满五年+诚意出售,万科新里程 ,2室2厅,80.55平米,南,8,2006,杨思前滩,720,89
中间楼层+交通便利+配套设施齐全,临沂七村 ,3室1厅,78.58平米,南 北,6,1990,南码头,518,65
满五唯 一，税少，89平附8平，高区，采光无遮挡,保利林语溪(公寓) ,2室2厅,89.66平米,南,18,2011,三林,535,59
新上好房，房东着急出售，价格还可谈，板式南北通，好,绿川馨康苑 ,2室1厅,84.39平米,南 北,6,2004,北蔡,575,68
"明天华城三期，可看湖景。诚意出售,有产权车位",明天华城 ,2室2厅,83.86平米,南,20,2014,周浦,578,68
非顶楼 标杆小区中间位置两房 南北通风户型方正,龙阳花苑 ,2室1厅,87.51平米,南,6,1999,南码头,730,83
内环边，地铁口，中楼层，房型正气，满五年惟一,由由六村 ,3室1厅,86.73平米,南,6,1995,北蔡,520,59
满五税少地段好交通方便配套昌邑大花园,大华锦绣华城(九街区) ,2室2厅,76.9平米,南,6,2006,北蔡,608,79
满五年+朝南+电梯房+建平西+中区,东晶国际公寓 ,2室1厅,71.3平米,南,28,2006,梅园,680,95
陆家嘴浦东大道双轨旁+70年住宅+房间看江景+地段好,荣成大厦 ,1室2厅,81.42平米,东 东南,28,1997,梅园,750,92
品质小区 满五WEI 一  精装修 配套成熟 南北通,印象春城 ,2室2厅,89.53平米,南,16,2011,周浦,530,59
三线交汇 优质俩房 楼层好 靠河边 位置好！！！,绿茵苑(浦东) ,2室2厅,88.47平米,南,6,1998,杨思前滩,570,64
内环边大三房 飞机户型 地铁500米 无嫌恶设施 诚意售,香山新村西北街坊 ,3室1厅,83.99平米,南,6,1996,金杨,528,62
2012年建成，13号线边上，南北通户型，位置安静,虞泽苑 ,2室2厅,84.41平米,南,16,2012,北蔡,538,63
御桥科创园+08年动迁南北通两房+11/18号地铁站,民康苑 ,2室1厅,77.4平米,南,6,2008,御桥,620,80
前滩南板块 11号线三林东地铁站 满五年 景观楼层,中海御景熙岸(公寓) ,2室2厅,87.16平米,南,20,2011,三林,535,61
明天华城南北通两房，大阳台，诚意出售,明天华城 ,2室2厅,88.3平米,南 北,9,2012,周浦,599,67
04年花园式商品房小区+全落地窗+满五年近13号线地铁口,绿川馨康苑 ,2室1厅,81.51平米,南,6,2004,北蔡,555,68
内环内品质电梯大一房，精装南向中间楼层钥匙房随时看,东南华庭 ,1室2厅,78.73平米,东 东南,29,2004,塘桥,778,98
中间楼层，精装2房，南北户型，近地铁，看房方便,明丰佳园 ,2室1厅,82.5平米,南 北,6,1996,南码头,665,80
清水苑三期模范+带落地窗+自住两房+满五年+随时可看,金桥湾清水苑 ,2室1厅,70.1平米,南 北,6,1998,金桥,509,72
11号线纯商品房带飘窗大两房停车方便业主急售,明丰花园 ,2室2厅,83.83平米,南,6,2002,三林,619,73
电梯景观楼层，视野开阔·满五税费少·房东诚心出售,三林世博家园(板泉路2000弄) ,2室1厅,75.6平米,南,11,2006,杨思前滩,520,68
次顶楼 适合年轻人居住  视野宽阔 采光充足 房东诚售,博学家园 ,2室2厅,70.64平米,南,6,2010,杨思前滩,555,78
陆家嘴全明两房带厅，电梯中区，急售，看房预约,陈家宅小区(潍坊西路) ,2室1厅,73.42平米,南,18,1996,陆家嘴,530,72
高弘家苑 2室1厅 东南,高弘家苑 ,2室1厅,88.89平米,东南,14,2011,高行,739,83
电梯河景房，不靠路，位置安静，近双子塔 张江地铁口,川杨新苑(一期) ,2室2厅,87.66平米,南,14,2007,张江,568,64
浦发两房精选，高楼层，好位置，M五V一，税少业主自住,浦发罗兰翡丽 ,2室1厅,80.21平米,南,16,2017,唐镇,718,89
杨思前滩丨品质小区丨板式户型丨视野采光丨诚意出售,源城锦翠苑 ,2室2厅,76.49平米,南,6,2005,杨思前滩,650,84
满五年，无抵押，交通便利，一梯两户,林梅小区 ,3室1厅,83.93平米,南,6,1994,三林,518,61
中间楼层，南北通透，视野采光好，业主诚意出售！！！,中新家园 ,2室1厅,81.21平米,南 北,6,1999,洋泾,750,92
双地铁巨峰路站旁东陆新村五街坊，中间楼层，诚意出售,东陆新村五街坊 ,3室1厅,77.85平米,南,6,2003,金桥,568,72
建平、边套全明户型、中间楼层、满五年、拎包入住,金浜小区 ,2室1厅,71.84平米,南,6,1994,金杨,510,70
房子满五税少，全明户型中间楼层， 双朝南户型,正旺苑 ,2室1厅,79.68平米,南,6,2004,金桥,518,65
巨峰路站旁东陆新村五街坊，中间楼层，好位置诚意出售,东陆新村五街坊 ,2室1厅,77.85平米,南,6,2003,金桥,590,75
满五仅一套 业主诚售 格局楼层好 采光充足 有阁楼,嘉屯苑 ,3室1厅,87.65平米,南,6,2001,金桥,540,61
此房满五税少，高区视野贼好，采光very好，诚售,杉林新月环林东路875弄 ,2室2厅,84.14平米,南 北,18,2006,三林,630,74
11+18号线御桥站 非顶楼小三房 周期可谈  市场A房,御桥花园 ,2室2厅,86.94平米,南,6,1996,御桥,588,67
一手动迁+楼层好+配套全+交通便利,同康苑 ,2室1厅,87平米,南,32,2014,三林,510,58
格局视野宽阔采光充足配套设施齐全,绿地崴廉公寓 ,2室2厅,88.16平米,南,14,2005,高行,590,66
户型通透，楼层好，视野宽阔，位置好，配套设施齐全,东源名都 ,2室1厅,89.71平米,南,18,2009,高行,570,63
南北通，精装修，小区环境优美 配套完善 出行交通便利,杉林新月环林东路879弄 ,2室1厅,73.92平米,南 北,6,2003,三林,500,67
龙阳CBD覆盖区五线交汇电梯中层诚意出售动迁无增值税,苗桐佳苑 ,2室2厅,85.48平米,南 北,15,2017,北蔡,660,77
商品南北两房，梦想改造家设计师作品，花园位置，满五,新世纪花苑(三期)(浦东) ,2室2厅,89.13平米,南 北,6,2001,世博,680,76
满五年，花园很大，户型正气，小区车位宽松,云莲苑 ,3室1厅,75.85平米,南,6,1996,世博,515,67
好房推荐，南北直通，中间楼层，装修点赞，出行方便,证大家园(一期) ,2室2厅,87.73平米,南,6,2002,金桥,710,80
一手动迁房前滩板块近地铁户型南北户型得房率高,海阳新村 ,2室2厅,88.1平米,南,6,1995,杨思前滩,599,67
此房精装修，高楼层端正户型，三轨位置好，采光好,金杨新村四街坊 ,2室2厅,85.31平米,南,4,1995,金杨,620,72
南北大两房得房率高+全明户型双厅带东窗+满五拎包入住,金桥路530弄 ,2室2厅,77.85平米,南,6,1993,金杨,753,96
税费少，全明户型，楼层好，业主诚意出售,金杨新村四街坊 ,2室1厅,70.36平米,南,6,1995,金杨,520,73
前滩南，黄埔江边，小南京西路步行街,凌兆新村(三林路711弄) ,2室2厅,80.57平米,南,6,1998,三林,510,63
新上带精装阁楼房，满五，视野好，采光无遮挡,新高苑(一期) ,2室2厅,85.3平米,南,6,2006,高行,515,60
三林前滩，满五无个税，中环旁，6/11双地铁,金橘新苑（北区） ,2室1厅,81.48平米,南 北,11,2006,三林,650,79
精装两房，品质小区，高区景观房，业主诚意出售,浦发罗兰翡丽 ,2室1厅,80.21平米,南,16,2017,唐镇,780,97
满五无个税，精装修拎包，89＋25平大三房二卫,保利林语溪(公寓) ,3室2厅,89.22平米,南 北,18,2011,三林,680,76
金色中环。双地铁口，婚房装修，满五年为一，诚意出售,地杰国际城D街坊 ,2室2厅,80.96平米,南,18,2009,御桥,645,79
业主真的是急疯了 房子是真的好 欢迎来看,浦发罗兰翡丽 ,3室2厅,89.14平米,南,17,2017,唐镇,800,89
商品社区，近地铁，南北通透户型,明丰花园 ,2室2厅,84.15平米,南 北,6,2003,三林,615,73
内高层中高区，售后公房，三房全明，诚意出售,竹园高层 ,3室1厅,79.23平米,南,26,1992,源深,730,92
金禾高楼层+双南厅北+婚房装修+无个税拎包入住,金禾新苑 ,2室2厅,80.51平米,南,17,2006,三林,672,83
稀有飞机户型  楼层好 位置佳 诚意出售,明珠苑(浦东) ,3室2厅,88.86平米,南,6,1998,洋泾,799,89
宜居三林+近11/6号线+户型正气+楼层佳+舒心甄选！！！,金橘新苑（南区） ,2室2厅,82.17平米,南,10,2006,三林,668,81
二期03年，带天然气，税费少，随时可看，1和6年可用,金桥酒店公寓 ,1室1厅,83.15平米,南,19,2003,碧云,630,75
浦城小区 3室1厅 南,浦城小区 ,3室1厅,72.68平米,南,6,1993,陆家嘴,658,90
崮山双南两房，不靠路，动迁税少，交通生活便利,崮山小区三街坊 ,2室1厅,70.21平米,南,6,1997,洋泾,698,99
店长推荐诚意出售+11/6号线近前滩金谊广场新达汇,锦丽新苑 ,2室2厅,85.53平米,南 北,6,2002,三林,618,72
2005年竣工小区中间位置中高楼层视野好税费少,龙沟新苑 ,2室1厅,76.87平米,南,6,2005,北蔡,530,68
南北通 靠万达 靠地铁 出行方便 满五 可谈周期,美林小城 ,2室1厅,89.54平米,南,14,2006,康桥,520,58
三林世博家园(东书房路560弄) 2室1厅 南,三林世博家园(东书房路560弄) ,2室1厅,74.44平米,南,17,2006,杨思前滩,520,69
陆家嘴边套高楼层精装修观景效果好  看三件套,久阳滨江公寓 ,1室1厅,70.77平米,南,25,2006,陆家嘴,590,83
三林板块+近11号线三林东站+新达汇大型广场,盛源公寓 ,2室2厅,86.13平米,南 北,6,2003,三林,640,74
金色中环带6/11号线+电梯中层+税费低+精装修+诚售,金禾新苑 ,2室1厅,71.06平米,南,11,2006,三林,635,89
潍坊十村新上三房+中间楼层+陆家嘴世纪大道+出行方便,潍坊十村 ,3室1厅,73.86平米,南,6,1985,潍坊,735,99
金地高层经典小三房，精装修，满5年，业主置换急售。,金地未未来 ,3室1厅,88.89平米,南 北,15,2009,高行,755,84
浦发两房精选，高楼层，好位置，M五V一，税少业主自住,浦发罗兰翡丽 ,2室1厅,80.21平米,南,16,2017,唐镇,718,89
满五年V一，18号线芳芯路地铁100米，精装修，不靠路,芳芯苑 ,2室1厅,81.85平米,南,6,1994,北蔡,510,62
花木2房看这里 安静位置 精装修可以包入住 能看房,梅花新村(花木) ,2室1厅,72.37平米,南,6,1995,花木,542,74
满五，地理位置优越，附带一个北卧，总价低,证大家园(二期) ,2室1厅,80.74平米,南,6,2002,金桥,630,78
电梯三房，边套全明，两南一北，售后公房税少，近地铁,罗山七村 ,3室1厅,84.41平米,南,6,1996,金杨,518,61
金色中环规划+近前滩+户型好+采光好+诚意出售,新里城和合苑 ,2室2厅,79.5平米,南,6,1999,杨思前滩,599,75
2001年，售后公房，满五年，近9号线地铁，安静位置,崮山小区一街坊 ,3室2厅,86.38平米,南 北,6,2001,洋泾,780,90
近地铁7号线+附带50平米花园+满五年精装+世博品质小区,上南花苑(二期) ,2室1厅,80.61平米,南,5,1998,世博,780,96
2008年小区 能入建平 11/18双轨交 无增值税,民康苑 ,2室2厅,77.36平米,南,6,2008,御桥,570,73
户型正气大三房，楼层好，临河景观位，动迁省税,金杨新村四街坊 ,3室1厅,88.52平米,南,7,1994,金杨,645,72
张江南次新品质小区 中yang空调+地暖 全人车分流,锦绣御澜 ,3室2厅,88.33平米,南,18,2022,周浦,749,84
满五年W一没有 个税，采光好，有钥匙随时看,建中路171弄 ,3室1厅,85.76平米,南,6,1993,张江,560,65
崮山小区一街坊两房，全明户型业主诚售，地铁9号线,崮山小区一街坊 ,2室2厅,72.64平米,南,6,2001,洋泾,670,92
满五、双南户型电梯房，采光通风好,海运新村 ,2室1厅,77.69平米,南,18,1990,塘桥,550,70
双南户型北面有窗很通透  高区楼层视野开阔,东港公寓 ,2室1厅,73.96平米,南,15,1987,陆家嘴,550,74
1楼带大花园，品质小区，业主诚心出售，价钱可以谈,恒大翰城瀚林苑 ,2室2厅,89.04平米,南,5,2003,杨思前滩,750,84
高区景观房本小区少有的大面积带燃气户型,金桥酒店公寓 ,1室1厅,83.15平米,南,19,2003,碧云,550,66
带南北双花园、位置好、近前滩CBD、三轨交地铁,恒大华城上河苑 ,2室2厅,86.12平米,南 北,6,2001,杨思前滩,660,76
张江南 品质小区  满五年weiyi 无遮挡 精装修 有车位,印象春城 ,2室2厅,88.5平米,南,15,2011,周浦,570,64
南北通两房，楼间距开阔，楼层好，随时看房，诚意出售,金葵新城(西区) ,2室2厅,84.26平米,南 北,18,2012,金桥,560,66
二改三，南北户型，税少，带大花园，看房随时诚心出售,黄山始信苑 ,2室2厅,75.67平米,南,5,1999,金杨,756,99
云台路地铁~高层电梯双南两房急售~看房随时方便,上南大厦 ,2室1厅,82.47平米,南,24,1998,世博,590,71
内环旁，近地铁，全南户型，视野采光好，业主诚意出售,东方明珠国际公寓 ,2室2厅,84.28平米,南,25,2005,南码头,790,93
满5年，精装修，南北户型，距离地铁近，中间楼层,河滨城市花园 ,2室2厅,82.66平米,南,6,2006,曹路,500,60
近待开发滨江、地铁620米、中间层南北两房、随时看,金樟花苑 ,2室1厅,70.93平米,南,6,1994,金杨,525,74
02年次新小区 3房复式带2个大露台，楼上楼下双卫,莲宏苑 ,3室2厅,87.02平米,南,6,2002,北蔡,650,74
三条轨交 地铁口 采光无遮挡 满五wei① 随时可以看,金杨公寓 ,2室1厅,85.35平米,南,24,1996,金杨,530,62
澪稅费+中间位置+中间楼层+學位位用+看房随时+急售,广洋苑 ,2室2厅,76.21平米,南,6,2002,金杨,698,91
精装修+地铁口+金色中环+诚意出售+价格能谈,博学家园 ,2室1厅,78.68平米,南 北,11,2010,杨思前滩,569,72
阳台开阔，户型方正，出门就是小区竖琴广场，有喷泉！,绿地崴廉公寓 ,2室2厅,89.32平米,南,11,2007,高行,650,72
前滩辐射+双南大两房+满五税少+高区视野无遮挡,中海御景熙岸(公寓) ,2室2厅,87.22平米,南,20,2011,三林,542,62
稀有飞机户型  楼层好 位置佳 诚意出售,明珠苑(浦东) ,3室2厅,88.86平米,南,6,1998,洋泾,799,89
售后公房税费低，双南电梯房，全明户型,茂兴大厦 ,2室1厅,76.17平米,南,18,1997,塘桥,545,71
东方悦居 2室1厅 南,东方悦居 ,2室1厅,73.17平米,南,16,2008,杨思前滩,577,78
采光好+东门湖景位置+看房随时+价格可谈+看中好沟通,绿地康桥新苑 ,2室2厅,77.54平米,南,6,2004,康桥,500,64
精装修、满五年税费少、全明户型，世纪大道地铁口！,竹园高层 ,3室1厅,85.36平米,南,26,1991,源深,720,84
玉兰一期 环境好 近地铁 满五年 税费低 南北通,玉兰香苑一期B块 ,2室2厅,86.78平米,南,6,2004,张江,518,59
